-2.998251 0.102423 0.000000
-2.998251 -0.051212 0.088701
-2.998251 -0.051212 -0.088701
-2.984272 0.306792 0.000000
-2.984272 0.235017 0.197202
-2.984272 0.053274 0.302132
-2.984272 -0.153396 0.265690
-2.984272 -0.288291 0.104929
-2.984272 -0.288291 -0.104929
-2.984272 -0.153396 -0.265690
-2.984272 0.053274 -0.302132
-2.984272 0.235017 -0.197202
-2.956379 0.509731 0.000000
-2.956379 0.470930 0.195066
-2.956379 0.360434 0.360434
-2.956379 0.195066 0.470930
-2.956379 0.000000 0.509731
-2.956379 -0.195066 0.470930
-2.956379 -0.360434 0.360434
-2.956379 -0.470930 0.195066
-2.956379 -0.509731 0.000000
-2.956379 -0.470930 -0.195066
-2.956379 -0.360434 -0.360434
-2.956379 -0.195066 -0.470930
-2.956379 -0.000000 -0.509731
-2.956379 0.195066 -0.470930
-2.956379 0.360434 -0.360434
-2.956379 0.470930 -0.195066
-2.914701 0.710293 0.000000
-2.914701 0.681521 0.200113
-2.914701 0.597537 0.384014
-2.914701 0.465143 0.536804
-2.914701 0.295066 0.646105
-2.914701 0.101085 0.703064
-2.914701 -0.101085 0.703064
-2.914701 -0.295066 0.646105
-2.914701 -0.465143 0.536804
-2.914701 -0.597537 0.384014
-2.914701 -0.681521 0.200113
-2.914701 -0.710293 0.000000
-2.914701 -0.681521 -0.200113
-2.914701 -0.597537 -0.384014
-2.914701 -0.465143 -0.536804
-2.914701 -0.295066 -0.646105
-2.914701 -0.101085 -0.703064
-2.914701 0.101085 -0.703064
-2.914701 0.295066 -0.646105
-2.914701 0.465143 -0.536804
-2.914701 0.597537 -0.384014
-2.914701 0.681521 -0.200113
-2.859434 0.907544 0.000000
-2.859434 0.884790 0.201947
-2.859434 0.817669 0.393768
-2.859434 0.709546 0.565844
-2.859434 0.565844 0.709546
-2.859434 0.393768 0.817669
-2.859434 0.201947 0.884790
-2.859434 0.000000 0.907544
-2.859434 -0.201947 0.884790
-2.859434 -0.393768 0.817669
-2.859434 -0.565844 0.709546
-2.859434 -0.709546 0.565844
-2.859434 -0.817669 0.393768
-2.859434 -0.884790 0.201947
-2.859434 -0.907544 0.000000
-2.859434 -0.884790 -0.201947
-2.859434 -0.817669 -0.393768
-2.859434 -0.709546 -0.565844
-2.859434 -0.565844 -0.709546
-2.859434 -0.393768 -0.817669
-2.859434 -0.201947 -0.884790
-2.859434 -0.000000 -0.907544
-2.859434 0.201947 -0.884790
-2.859434 0.393768 -0.817669
-2.859434 0.565844 -0.709546
-2.859434 0.709546 -0.565844
